chapter,word,translation
4.1,abnormal,异常的
4.1,academic,学术的
4.1,accessible,可进入的；易获得的
4.1,accountable,负有责任的
4.1,accurate,准确的
4.1,additional,额外的
4.1,adequate,足够的
4.1,advanced,先进的
4.1,advisable,明智的
4.1,allergic,过敏的
4.1,alternative,替代的
4.1,amazing,令人惊叹的
4.1,ambiguous,模糊的；含糊的
4.1,ambitious,有雄心的
4.1,analytical,分析的
4.1,ancient,古老的
4.1,angry,愤怒的
4.1,applied,应用的
4.1,archaeological,考古的
4.1,artificial,人工的
4.1,artistic,艺术的
4.1,ascending,上升的
4.1,atmospheric,大气的
4.1,attentive,专注的
4.1,audio,音频的
4.1,available,可用的
4.1,aware,意识到的
4.1,awful,糟糕的
4.1,auto,自动的
4.1,bald,秃头的
4.1,barren,贫瘠的
4.1,basic,基本的
4.1,beautiful,美丽的
4.1,biological,生物的
4.1,blind,盲目的
4.1,blond,金发的
4.1,British,英国的
4.1,broad,宽阔的
4.1,buried,埋藏的
4.1,calculating,精于算计的
4.1,casual,随意的
4.1,central,中心的
4.1,challenging,有挑战性的
4.1,cheaper,更便宜的
4.1,cheerful,愉快的
4.1,children's,儿童的
4.1,classical,古典的
4.1,clean,干净的
4.1,cleanest,最干净的
4.1,clear,清晰的
4.1,clever,聪明的
4.1,coastal,沿海的
4.1,comfortable,舒适的
4.1,common,普通的
4.1,commonsense,常识性的
4.1,complete,完整的
4.1,completed,已完成的
4.1,confident,自信的
4.1,conservative,保守的
4.1,convenient,方便的
4.1,co-operative,合作的
4.1,corrupt,腐败的
4.1,costly,昂贵的
4.1,cream,奶油色的
4.1,critical,批判的；关键的
4.1,crucial,至关重要的
4.1,cultural,文化的
4.1,curly,卷曲的
4.1,current,当前的
4.1,daily,日常的
4.1,dairy,乳制品的
4.1,dangerous,危险的
4.1,dark,黑暗的
4.1,departmental,部门的
4.1,dependent,依赖的
4.1,detailed,详细的
4.1,different,不同的
4.1,direct,直接的
4.1,disabled,残疾的
4.1,distant,遥远的
4.1,distinct,明显的；独特的
4.1,domestic,国内的；家庭的
4.1,dominant,主导的
4.1,eastern,东方的
4.1,economic,经济的
4.1,educational,教育的
4.1,effective,有效的
4.1,efficient,高效的
4.1,elementary,基础的
4.1,empty,空的
4.1,enormous,巨大的
4.1,enthusiastic,热情的
4.1,environmental,环境的
4.1,essential,必要的
4.1,excited,兴奋的
4.1,exciting,令人兴奋的
4.1,existent,存在的
4.1,expensive,昂贵的
4.1,experienced,有经验的
4.1,experimental,实验性的
4.1,extensive,广泛的
4.1,extra,额外的
4.1,fair,公平的
4.1,fake,假的
